,Year,Organization,Recipient,Amount,Description
768,2019,Open Philanthropy,Plant Based Foods Association,230000.0,Plant Based Foods Association — Grocery Store Study
769,2019,Open Philanthropy,Animal Equality,215000.0,Animal Equality — Broiler Welfare Campaigns
770,2019,Open Philanthropy,Group Nine Media,215000.0,Group Nine Media – Factory Farming Videos (2019)
771,2019,Open Philanthropy,Rethink Priorities,200000.0,Rethink Priorities — Farm Animal Welfare Research
772,2019,Open Philanthropy,Sinergia Animal,187600.0,Sinergia Animal — Animal Welfare in Southeast Asia (2019)
773,2019,Open Philanthropy,"Farm Forward, Inc",166000.0,Farm Forward — Exit Grant
774,2019,Open Philanthropy,Essere Animali,150000.0,Essere Animali — Farm Animal Welfare Work in Italy
775,2019,Open Philanthropy,SPCA Selangor,134000.0,SPCA Selangor — Farm Animal Welfare
776,2019,Open Philanthropy,"University of California, Berkeley",131579.0,UC Berkeley — Alternative Meats Lab (January 2019)
777,2019,Open Philanthropy,Royal Veterinary College,130850.0,Royal Veterinary College — Halal Poultry Slaughter Research
778,2019,Open Philanthropy,New York University,125840.0,New York University — Work on Fish Welfare (2019)
779,2019,Open Philanthropy,Princeton University,100000.0,Princeton University — Animal Liberation
780,2019,Open Philanthropy,Sentient Media,100000.0,Sentient Media — Digital Content Optimization Work
781,2019,Open Philanthropy,,100000.0,Cynthia Schuck & Wladimir Alonso — DALY Project (2019)
782,2019,Open Philanthropy,Soko Tierschutz,100000.0,Soko Tierschutz — Factory Farm Investigations
783,2019,EA Animal Welfare Fund,The Humane League UK,100000.0,Hiring for EU and Global Corporate Relations positions
784,2019,Open Philanthropy,Crate-Free Illinois,94720.0,Crate-Free Illinois — Campaigning Against Gestation Crates (2019)
785,2019,EA Animal Welfare Fund,Sinergia Animal,85000.0,Hire one international campaign director
786,2019,Animal Charity Evaluators,Albert Schweitzer Foundation,80068.6,Recommended Charity Fund
787,2019,Animal Charity Evaluators,Anima International,80068.6,Recommended Charity Fund
788,2019,Animal Charity Evaluators,The Good Food Institute,80068.6,Recommended Charity Fund
789,2019,Animal Charity Evaluators,The Humane League,80068.6,Recommended Charity Fund
790,2019,EA Animal Welfare Fund,Rethink Priorities,80000.0,Research into animal welfare interventions
791,2019,Animal Charity Evaluators,Wild Animal Initiative,60000.0,Movement Grants
792,2019,Animal Charity Evaluators,The Save Movement,58580.0,Movement Grants
793,2019,Open Philanthropy,Claremont Graduate University,57000.0,Claremont Graduate University — Leafleting Study
794,2019,Animal Charity Evaluators,(Anonymous),55000.0,Movement Grants
795,2019,EA Animal Welfare Fund,Wild Animal Initiative,50000.0,Research on tractable interventions to help wild animals
796,2019,EA Animal Welfare Fund,Faunalytics,50000.0,Complete their existing studies on effective animal advocacy research and potentially hire a new researcher
797,2019,Animal Charity Evaluators,Kaplan Lab at Tufts University,50000.0,Movement Grants
798,2019,Animal Charity Evaluators,Vegans of Shanghai,50000.0,Movement Grants
799,2019,Animal Charity Evaluators,Animal Aid UK,50000.0,Movement Grants
800,2019,Animal Charity Evaluators,Balanced,50000.0,Movement Grants
801,2019,Animal Charity Evaluators,Better Eating International,50000.0,Movement Grants
802,2019,Animal Charity Evaluators,Center for Animal Law Studies,50000.0,Movement Grants
803,2019,Animal Charity Evaluators,Encompass,50000.0,Movement Grants
804,2019,Animal Charity Evaluators,Factory Farming Awareness Coalition,50000.0,Movement Grants
805,2019,Animal Charity Evaluators,Federation of Indian Animal Protection Organizations,50000.0,Movement Grants
806,2019,Animal Charity Evaluators,Food Empowerment Project,50000.0,Movement Grants
807,2019,Animal Charity Evaluators,Veganuary,50000.0,Movement Grants
808,2019,Open Philanthropy,Animals Australia Federation,48324.0,Animals Australia Federation — Pig Welfare in Indonesia
809,2019,Animal Charity Evaluators,Animal Ethics,44000.0,Movement Grants
810,2019,Animal Charity Evaluators,Sneha’s Care,43000.0,Movement Grants
811,2019,Open Philanthropy,University of Oxford,41800.0,University of Oxford — Animal Welfare Research
812,2019,Animal Charity Evaluators,Compassion in World Farming USA,40034.3,Recommended Charity Fund
813,2019,Animal Charity Evaluators,Faunalytics,40034.3,Recommended Charity Fund
814,2019,Animal Charity Evaluators,Federation of Indian Protection Organisations (FIAPO),40034.3,Recommended Charity Fund
815,2019,Animal Charity Evaluators,Sinergia Animal,40034.3,Recommended Charity Fund
816,2019,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,40034.3,Recommended Charity Fund
817,2019,EA Animal Welfare Fund,Charles He,40000.0,Map farm animals and their living conditions
818,2019,EA Animal Welfare Fund,Anima International,40000.0,International farmed animal advocacy
819,2019,Animal Charity Evaluators,Paris Animaux Zoopolis,40000.0,Movement Grants
820,2019,Animal Charity Evaluators,Aph Ko,40000.0,Movement Grants
821,2019,Animal Charity Evaluators,Compassionate Action for Animals,40000.0,Movement Grants
822,2019,Animal Charity Evaluators,EAST,40000.0,Movement Grants
823,2019,Animal Charity Evaluators,Essere Animali,40000.0,Movement Grants
824,2019,Open Philanthropy,Royal Society for the Prevention of Cruelty to Animals,36957.0,Royal Society for the Prevention of Cruelty to Animals — Organizational Development
825,2019,Animal Charity Evaluators,Palestinian Animal League,35000.0,Movement Grants
826,2019,Animal Charity Evaluators,Animal Welfare Media,33000.0,Movement Grants
827,2019,Animal Charity Evaluators,Sentient,32500.0,Movement Grants
828,2019,Animal Charity Evaluators,The Center for Animal Law Studies (CALS),30000.0,Movement Grants
829,2019,Animal Charity Evaluators,Be Fair Be Vegan,30000.0,Movement Grants
830,2019,Animal Charity Evaluators,Compassion Over Killing,30000.0,Movement Grants
831,2019,Animal Charity Evaluators,Emerging Markets Investors Alliance,30000.0,Movement Grants
832,2019,Animal Charity Evaluators,Grassroots Artists MovEment,30000.0,Movement Grants
833,2019,Animal Charity Evaluators,PlantPure Communities,30000.0,Movement Grants
834,2019,Animal Charity Evaluators,Thrive Baltimore Community Resource Center,30000.0,Movement Grants
835,2019,Animal Charity Evaluators,Biofutura A.C.,25000.0,Movement Grants
836,2019,Animal Charity Evaluators,A Prayer for Compassion,25000.0,Movement Grants
837,2019,Animal Charity Evaluators,Christopher Sebastian McJetters,25000.0,Movement Grants
838,2019,Animal Charity Evaluators,Vegetarianos Hoy,25000.0,Movement Grants
839,2019,Animal Charity Evaluators,Plant-based Policy Centre,24980.0,Movement Grants
840,2019,Open Philanthropy,Sankalpa,22000.0,Sankalpa — Farm Animal Welfare Workshop
841,2019,Animal Charity Evaluators,LifeAfterHummus Community Benefit Society,22000.0,Movement Grants
842,2019,Animal Charity Evaluators,Northwest VEG,21240.0,Movement Grants
843,2019,Animal Charity Evaluators,Food Frontier,21000.0,Movement Grants
844,2019,Animal Charity Evaluators,Equalia,20000.0,Movement Grants
845,2019,Animal Charity Evaluators,Animal Justice Project,20000.0,Movement Grants
846,2019,Animal Charity Evaluators,Factory Farming Legal Fellowship,20000.0,Movement Grants
847,2019,Animal Charity Evaluators,Faunacción,20000.0,Movement Grants
848,2019,Animal Charity Evaluators,Human Behaviour Change for Animals,20000.0,Movement Grants
849,2019,Animal Charity Evaluators,Peace Advocacy Network,20000.0,Movement Grants
850,2019,Animal Charity Evaluators,UK Centre for Animal Law,19147.0,Movement Grants
851,2019,Animal Charity Evaluators,Sneha’s Care,18600.0,Movement Grants
852,2019,Open Philanthropy,Animal Kingdom Foundation,17000.0,Animal Kingdom Foundation — Corporate Campaigns (May 2019)
853,2019,Animal Charity Evaluators,Assiettes Végétales,17000.0,Movement Grants
854,2019,Animal Charity Evaluators,Vegan Outreach,17000.0,Movement Grants
855,2019,Animal Charity Evaluators,Norwegian Animal Protection Alliance (Dyrevernalliansen),16500.0,Movement Grants
856,2019,Animal Charity Evaluators,Pour l’Égalité Animale,15000.0,Movement Grants
857,2019,Animal Charity Evaluators,Centre for a Responsible Future,15000.0,Movement Grants
858,2019,Animal Charity Evaluators,Dharma Voices for Animals,15000.0,Movement Grants
859,2019,Animal Charity Evaluators,Equal Sign,15000.0,Movement Grants
860,2019,Open Philanthropy,Humane Society International,13145.0,Humane Society International — African Swine Fever Training
861,2019,Animal Charity Evaluators,Czech Vegan Society,10000.0,Movement Grants
862,2019,Animal Charity Evaluators,Humánny pokrok,10000.0,Movement Grants
863,2019,Animal Charity Evaluators,LIBERUM,10000.0,Movement Grants
864,2019,Animal Charity Evaluators,OBRAZ,10000.0,Movement Grants
865,2019,Animal Charity Evaluators,Animal Place,10000.0,Movement Grants
866,2019,Animal Charity Evaluators,Equalia,10000.0,Movement Grants
867,2019,Animal Charity Evaluators,The Raven Corps,10000.0,Movement Grants
868,2019,Animal Charity Evaluators,The Veggie Connection,10000.0,Movement Grants
869,2019,Animal Charity Evaluators,Albert Schweitzer Foundation,5692.37,Recommended Charity Fund
870,2019,Animal Charity Evaluators,The Good Food Institute,5692.37,Recommended Charity Fund
871,2019,Animal Charity Evaluators,The Humane League,5692.37,Recommended Charity Fund
872,2019,Animal Charity Evaluators,Colorado Voters for Animals,5000.0,Movement Grants
873,2019,Animal Charity Evaluators,Arvind Animal Activist,5000.0,Movement Grants
874,2019,Animal Charity Evaluators,The Vegan Rainbow Project,5000.0,Movement Grants
875,2019,Animal Charity Evaluators,Mission Vegan Andhra,4000.0,Movement Grants
876,2019,Animal Charity Evaluators,Compassion in World Farming USA,2846.18,Recommended Charity Fund
877,2019,Animal Charity Evaluators,Faunalytics,2846.18,Recommended Charity Fund
878,2019,Animal Charity Evaluators,L214,2846.18,Recommended Charity Fund
879,2019,Animal Charity Evaluators,The Nonhuman Rights Project,2846.18,Recommended Charity Fund
880,2019,Animal Charity Evaluators,Open Cages,2846.18,Recommended Charity Fund
881,2019,Animal Charity Evaluators,ProVeg International,2846.18,Recommended Charity Fund
882,2019,Animal Charity Evaluators,Sinergia Animal,2846.18,Recommended Charity Fund
883,2019,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,2846.18,Recommended Charity Fund
884,2018,Open Philanthropy,The Humane League,10000000.0,The Humane League — General Support (2018)
885,2018,Open Philanthropy,Prevent Cruelty California,4000000.0,Prevent Cruelty California — “Yes on Prop 12” Campaign
886,2018,Open Philanthropy,Foundation for Food and Agriculture Research,3000000.0,Foundation for Food and Agriculture Research — Egg Tech Challenge
887,2018,Open Philanthropy,Animal Equality,2772430.0,Animal Equality — Corporate Animal Welfare Campaigns
888,2018,Open Philanthropy,Compassion in World Farming USA,1500000.0,Compassion in World Farming USA — General Support (2018)
889,2018,Open Philanthropy,Eurogroup for Animals,990000.0,Eurogroup for Animals — Fish Welfare (2018)
890,2018,Open Philanthropy,Global Animal Partnership,500000.0,Global Animal Partnership — Farm Animal Welfare Activities (2018)
891,2018,EA Animal Welfare Fund,Animal Charity Evaluators,500000.0,Evaluating charities and promoting effectiveness in the animal movement
892,2018,Open Philanthropy,Mercy For Animals,375000.0,Mercy For Animals — US Broiler Chicken Welfare Corporate Campaigns (2018)
893,2018,Open Philanthropy,Charity Science,265000.0,Charity Science — Development of New Animal Welfare Charities
894,2018,Open Philanthropy,Plant Based Foods Association,250000.0,Plant Based Foods Association — State-Level Policy (2018)
895,2018,Open Philanthropy,Royal Society for the Prevention of Cruelty to Animals,231677.0,Royal Society for the Prevention of Cruelty to Animals — Broiler Breed Study
896,2018,Open Philanthropy,Fórum Nacional de Proteção e Defesa Animal,200000.0,Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2018)
897,2018,Open Philanthropy,Farm Forward,165691.0,Farm Forward — Leadership Circle (2018)
898,2018,Open Philanthropy,University of Bern,150000.0,University of Bern — Higher Welfare Cage-Free Systems
899,2018,Open Philanthropy,International Society for Applied Ethology,135412.0,International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2018)
900,2018,Open Philanthropy,University of Edinburgh,102041.0,University of Edinburgh — Scholarship Program in Applied Animal Behavior and Animal Welfare
901,2018,Open Philanthropy,Food Frontier,100000.0,Food Frontier — General Support
902,2018,EA Animal Welfare Fund,"Wild-Animal Suffering Research, via the Effective Altruism Foundation",100000.0,Research on improving the welfare of wild animals
903,2018,Open Philanthropy,,96130.0,Cynthia Schuck & Wladimir Alonso — DALY Project
904,2018,EA Animal Welfare Fund,Rethink Priorities,85000.0,Prioritization and research into animal welfare interventions
905,2018,EA Animal Welfare Fund,Sentient Media,85000.0,Launch new farm animal-focused media group
906,2018,EA Animal Welfare Fund,Charity Entrepreneurship,75000.0,Supporting the incubation of promising new animal welfare charities
907,2018,EA Animal Welfare Fund,Rethink Priorities,75000.0,Prioritization and research into animal welfare interventions
908,2018,EA Animal Welfare Fund,Animal Welfare Action Lab,75000.0,Replicating surveys on clean meat opinion
909,2018,EA Animal Welfare Fund,Essere Animali (Italy),75000.0,Fish + pig advocacy and investigations in Italy
910,2018,EA Animal Welfare Fund,Animal Ethics,70000.0,Academic field-building on wild animal welfare
911,2018,EA Animal Welfare Fund,Sentience Institute,70000.0,Building the EA animal movement
912,2018,Open Philanthropy,Better Eating International,67110.0,Better Eating International  — Millennial Vegan Survey
913,2018,EA Animal Welfare Fund,Sociedade Vegetariana Brasileira,60000.0,Meat reduction outreach in Brazil
914,2018,Open Philanthropy,Changing Tastes,50000.0,Changing Tastes — Market Insights and Business Engagement on Fish Welfare
915,2018,EA Animal Welfare Fund,Encompass,50000.0,"Building a more racially inclusive, equitable, and diverse farmed animal movement"
916,2018,EA Animal Welfare Fund,Animal Liberation translation fund,50000.0,Translating the seminal work on animal welfare to new languages
917,2018,EA Animal Welfare Fund,Cellular Agriculture Society,50000.0,Building the field of academic research on clean meat
918,2018,EA Animal Welfare Fund,Anonymous,50000.0,Restaurant outreach
919,2018,EA Animal Welfare Fund,Bangladesh Animal Welfare Society,50000.0,Factory farm documentary in Bangladesh
920,2018,EA Animal Welfare Fund,EAST (Taiwan),50000.0,Policy campaigns and movement building in Taiwan
921,2018,EA Animal Welfare Fund,ProVeg International (China expansion),50000.0,Pilot expansion into China
922,2018,EA Animal Welfare Fund,"Sinergia Animal (Argentina, Brazil, Chile, Colombia)",50000.0,Corporate campaigns in Latin America
923,2018,EA Animal Welfare Fund,Fórum Nacional de Proteção e Defesa Animal,50000.0,Corporate campaigns in Brazil
924,2018,EA Animal Welfare Fund,Dharma Voices for Animals (Sri Lanka),50000.0,Buddhist advocacy for veg eating in Sri Lanka
925,2018,EA Animal Welfare Fund,Intercept,50000.0,Video stories to promote awareness of factory farming
926,2018,EA Animal Welfare Fund,Encompass,50000.0,"Building a more racially inclusive, equitable, and diverse farm animal movement"
927,2018,EA Animal Welfare Fund,Utility Farm,40000.0,Academic field-building on wild animal welfare
928,2018,Open Philanthropy,Commonwealth Veterinary Association,31355.0,Commonwealth Veterinary Association — Animal Welfare Workshop
929,2018,EA Animal Welfare Fund,Andrzej Skowron (Poland),30000.0,Undercover investigations and factory farm photography in Poland
930,2018,EA Animal Welfare Fund,Wild-Animal Suffering Research,30000.0,Academic field-building on wild animal welfare
931,2018,EA Animal Welfare Fund,Vege Project (Japan),25000.0,Veg outreach in Japan
932,2018,EA Animal Welfare Fund,Obraz (Czech Republic),25000.0,Movement building in the Czech Republic
933,2018,EA Animal Welfare Fund,Animal Welfare Media,25000.0,Videos to promote awareness of factory farming
934,2018,Open Philanthropy,The Humane League,22000.0,The Humane League — Latin America Regional Summit
935,2018,EA Animal Welfare Fund,Faunalytics,20000.0,Effective animal advocacy research
936,2018,EA Animal Welfare Fund,Utility Farm,20000.0,Researching tractable interventions to improve wild animal welfare
937,2018,EA Animal Welfare Fund,Єдина Планета / “Unique Planet” (Ukraine),20000.0,Movement building and anti-fur advocacy in Ukraine
938,2018,EA Animal Welfare Fund,Anonymous,20000.0,Institutional meat reduction outreach
939,2018,EA Animal Welfare Fund,Modern Agriculture Foundation (Israel),20000.0,Promoting clean and plant-based meats in Israel
940,2018,EA Animal Welfare Fund,Anonymous,20000.0,Veg outreach
941,2018,EA Animal Welfare Fund,Asociación Para el Rescate Y Bienestar Animal (Peru),20000.0,Corporate campaigns in Peru
942,2018,EA Animal Welfare Fund,Animal Rights Center Japan,20000.0,Policy and grassroots campaigning in Japan
943,2018,EA Animal Welfare Fund,Animal Friends Jogja (Indonesia),20000.0,Factory farm investigations and policy advocacy in Indonesia
944,2018,EA Animal Welfare Fund,Animal Kingdom Foundation (Philippines),20000.0,Factory farming awareness and policy advocacy in the Philippines
945,2018,EA Animal Welfare Fund,Animal Nepal,20000.0,Research and policy advocacy in Nepal
946,2018,EA Animal Welfare Fund,Coexistence of Animal Rights on Earth (South Korea),20000.0,Factory farm policy advocacy in South Korea
947,2018,Open Philanthropy,Aquaculture Stewardship Council,13813.0,Aquaculture Stewardship Council  — Organizational Development
948,2018,Open Philanthropy,Better Eating International,12690.0,Better Eating International — Organizational Development
949,2018,Animal Charity Evaluators,Albert Schweitzer Foundation,11344.33,Recommended Charity Fund
950,2018,Animal Charity Evaluators,Animal Equality,11344.33,Recommended Charity Fund
951,2018,Animal Charity Evaluators,The Good Food Institute,11344.33,Recommended Charity Fund
952,2018,Animal Charity Evaluators,The Humane League,11344.33,Recommended Charity Fund
953,2018,Open Philanthropy,Compassion in World Farming,10720.0,Compassion in World Farming — Organizational Development
954,2018,Open Philanthropy,Otwarte Klatki,10350.0,Otwarte Klatki — CARE Conference Travel Grants
955,2018,EA Animal Welfare Fund,NYU academic prize,10000.0,Incentivising academic work to end factory farming
956,2018,Open Philanthropy,Oxford Uehiro Centre for Practical Ethics,6683.0,Oxford Uehiro Centre for Practical Ethics — Animal Sentience Workshop
957,2018,Animal Charity Evaluators,Compassion in World Farming USA,5672.12,Recommended Charity Fund
958,2018,Animal Charity Evaluators,Faunalytics,5672.12,Recommended Charity Fund
959,2018,Animal Charity Evaluators,L214,5672.12,Recommended Charity Fund
960,2018,Animal Charity Evaluators,The Nonhuman Rights Project,5672.12,Recommended Charity Fund
961,2018,Animal Charity Evaluators,Open Cages,5672.12,Recommended Charity Fund
962,2018,Animal Charity Evaluators,ProVeg International,5672.12,Recommended Charity Fund
963,2018,Animal Charity Evaluators,Sinergia Animal,5672.12,Recommended Charity Fund
964,2018,Animal Charity Evaluators,Sociedade Vegetariana Brasileira,5672.12,Recommended Charity Fund
965,2018,Animal Charity Evaluators,Animal Equality,5310.27,Recommended Charity Fund
966,2018,Animal Charity Evaluators,The Good Food Institute,5310.27,Recommended Charity Fund
967,2018,Animal Charity Evaluators,The Humane League,5310.27,Recommended Charity Fund
968,2018,EA Animal Welfare Fund,CellAG UK,1000.0,Coordinating and connecting individuals working or interested in cellular agriculture in the UK
969,2018,Animal Charity Evaluators,Albert Schweitzer Foundation,1000.0,Recommended Charity Fund
970,2018,Animal Charity Evaluators,Compassion in World Farming USA,1000.0,Recommended Charity Fund
971,2018,Animal Charity Evaluators,Faunalytics,1000.0,Recommended Charity Fund
972,2018,Animal Charity Evaluators,L214,1000.0,Recommended Charity Fund
973,2018,Animal Charity Evaluators,The Nonhuman Rights Project,1000.0,Recommended Charity Fund
974,2018,Animal Charity Evaluators,Open Cages,1000.0,Recommended Charity Fund
975,2018,Animal Charity Evaluators,ProVeg International,1000.0,Recommended Charity Fund
976,2018,Animal Charity Evaluators,Vegan Outreach,1000.0,Recommended Charity Fund
977,2017,Open Philanthropy,Humane Slaughter Association,2528678.0,"Humane Slaughter Association — Fish, Crustacean, and Cephalopod Welfare"
978,2017,Open Philanthropy,Animal Equality,2110460.0,Animal Equality — EU Farm Animal Welfare
979,2017,Open Philanthropy,The Humane League,2000000.0,The Humane League — Open Wing Alliance (2017)
980,2017,Open Philanthropy,The Good Food Institute,1500000.0,The Good Food Institute — General Support (2017)
981,2017,Open Philanthropy,Humane Society International,1364000.0,Humane Society International — East Asian and OIE Projects
982,2017,Open Philanthropy,L214,1347742.0,L214 — Broiler Welfare Campaigns in France (2017)
983,2017,Open Philanthropy,Humane Society International India,1100000.0,Humane Society International India — Animal Welfare Reform (2017)
984,2017,Open Philanthropy,Compassion in World Farming,1026253.0,Compassion in World Farming — Fish Welfare
985,2017,Open Philanthropy,Compassion in World Farming,1000000.0,Compassion in World Farming — End the Cage Age Campaign
986,2017,Open Philanthropy,Albert Schweitzer Foundation,1000000.0,Albert Schweitzer Foundation — General Support
987,2017,Open Philanthropy,Foundation for Food and Agriculture Research,1000000.0,Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2017)
988,2017,Open Philanthropy,theguardian.org,886600.0,theguardian.org — Journalism on Factory Farming and Farm Animal Cruelty
989,2017,Open Philanthropy,Anima,683000.0,Anima — Chicken Welfare Campaigns and Merger Support
990,2017,Open Philanthropy,Eurogroup for Animals,625400.0,Eurogroup for Animals — EU Chicken Welfare Advocacy (2017)
991,2017,Open Philanthropy,Aquaculture Stewardship Council,533036.0,Aquaculture Stewardship Council  — Fish Welfare Standard Development
992,2017,Open Philanthropy,World Animal Protection,517588.0,World Animal Protection — Broiler Chicken Welfare (2017)
993,2017,Open Philanthropy,Global Animal Partnership,515000.0,Global Animal Partnership — Broiler Chicken Welfare Research
994,2017,Open Philanthropy,Mercy For Animals,500000.0,Mercy For Animals — India Animal Welfare Reform
995,2017,Open Philanthropy,The Greenfield Project,500000.0,The Greenfield Project — General Support
996,2017,Open Philanthropy,Animal Charity Evaluators,500000.0,Animal Charity Evaluators — General Support
997,2017,Open Philanthropy,Otwarte Klatki,472864.0,Otwarte Klatki — Chicken Welfare Campaigns and Merger Support
998,2017,Open Philanthropy,fair-fish international association,453841.0,fair-fish international association —  Fish Welfare Standards for Aquaculture
999,2017,Open Philanthropy,Global Aquaculture Alliance,435000.0,Global Aquaculture Alliance  — Fish Welfare Best Practices
1000,2017,Animal Charity Evaluators,Animal Equality,397481.0,Recommended Charity Fund
1001,2017,Open Philanthropy,Humane Society Legislative Fund,395094.0,Humane Society Legislative Fund — Opposing the King Amendment
1002,2017,Open Philanthropy,Dyrevernalliansen (The Norwegian Animal Protection Alliance),378000.0,Dyrevernalliansen — Fish Welfare
1003,2017,Open Philanthropy,Royal Society for the Prevention of Cruelty to Animals,374631.0,Royal Society for the Prevention of Cruelty to Animals — Chicken Welfare Campaign in the UK
1004,2017,Open Philanthropy,Federation of Indian Animal Protection Organisations,332944.0,Federation of Indian Animal Protection Organisations — India Animal Welfare Reform
1005,2017,Animal Charity Evaluators,The Good Food Institute,321771.0,Recommended Charity Fund
1006,2017,Open Philanthropy,Albert Schweitzer Foundation,317060.0,Albert Schweitzer Foundation — Fish Welfare
1007,2017,Open Philanthropy,Animal Equality,292000.0,Animal Equality — India Animal Welfare Reform
1008,2017,Open Philanthropy,Global Animal Partnership,285000.0,Global Animal Partnership  — Fish Welfare Standards
1009,2017,Animal Charity Evaluators,The Humane League,227132.0,Recommended Charity Fund
1010,2017,Open Philanthropy,Global Animal Partnership,200000.0,Global Animal Partnership — General Support (2017)
1011,2017,Open Philanthropy,Family Farm Action,153000.0,Family Farm Action — Opposing the King Amendment
1012,2017,Open Philanthropy,People for Animals Uttarakhand,120000.0,People for Animals — India Animal Welfare Reform
1013,2017,Open Philanthropy,Albert Schweitzer Foundation,111986.0,Albert Schweitzer Foundation — International Cage-Free Advocacy
1014,2017,Open Philanthropy,Farm Forward,100000.0,Farm Forward — Chicken Welfare Advocacy (2017)
1015,2017,Open Philanthropy,Wageningen University & Research,88345.0,Wageningen University & Research — Chicken Welfare Systematic Assessment
1016,2017,Open Philanthropy,Institute for Advancement of Animal Welfare Science,80400.0,Colorado State University — Planning Gift
1017,2017,Open Philanthropy,Animal Welfare Action Lab,79100.0,Animal Welfare Action Lab — Meat Reduction and Elimination Messaging Study
1018,2017,Open Philanthropy,World Animal Net,50000.0,World Animal Net — Co-Organizing Workshops with the World Bank
1019,2017,EA Animal Welfare Fund,Wild-Animal Suffering Research / The Effective Altruism Foundation,50000.0,Research on improving the welfare of wild animals
1020,2017,Open Philanthropy,International Society for Applied Ethology,40000.0,International Society for Applied Ethology — Travel Scholarships
1021,2017,Animal Charity Evaluators,Albert Schweitzer Foundation,35051.0,Recommended Charity Fund
1022,2017,Animal Charity Evaluators,Compassion in World Farming USA,35051.0,Recommended Charity Fund
1023,2017,Animal Charity Evaluators,Faunalytics,35051.0,Recommended Charity Fund
1024,2017,Animal Charity Evaluators,HSUS Farmed Animal Protection Campaign,35051.0,Recommended Charity Fund
1025,2017,Animal Charity Evaluators,L214,35051.0,Recommended Charity Fund
1026,2017,Animal Charity Evaluators,The Nonhuman Rights Project,35051.0,Recommended Charity Fund
1027,2017,Animal Charity Evaluators,Open Cages,35051.0,Recommended Charity Fund
1028,2017,Animal Charity Evaluators,ProVeg International,35051.0,Recommended Charity Fund
1029,2017,Animal Charity Evaluators,Vegan Outreach,35051.0,Recommended Charity Fund
1030,2017,Open Philanthropy,Compassion in World Farming USA,30000.0,Compassion in World Farming USA — Latin America Broiler Chicken Welfare Research
1031,2017,EA Animal Welfare Fund,Compassion in World Farming USA,30000.0,Corporate outreach
1032,2017,EA Animal Welfare Fund,The Humane League,30000.0,Campaigning groups for layer hens and broiler chickens
1033,2017,EA Animal Welfare Fund,Animal Equality,30000.0,"Grassroots activism, corporate campaigning, and undercover investigations across Europe, the Americas, and India"
1034,2017,EA Animal Welfare Fund,New Harvest,30000.0,Clean meat research
1035,2017,EA Animal Welfare Fund,The Effective Altruism Foundation,30000.0,Fund the research on the welfare of wild animals done by researchers Ozy Brennan and Persis Eskander
1036,2017,Open Philanthropy,Harvard University,21200.0,Harvard University — Animal Law and Policy Program
1037,2017,EA Animal Welfare Fund,The Fórum Nacional de Proteção e Defesa Animal,20000.0,Corporate outreach and grassroots campaigning
1038,2017,EA Animal Welfare Fund,Sinergia Animal,20000.0,Corporate outreach and grassroots campaigning
1039,2017,EA Animal Welfare Fund,The Fórum Nacional de Proteção e Defesa Animal in Brazil,20000.0,"Advocates crate-free pledges from Brazil’s three largest pork producers, and more recently cage-free pledges from Brazil’s three largest mayo producers"
1040,2017,Open Philanthropy,Eurogroup for Animals,14961.0,Eurogroup for Animals — Broiler Chicken Welfare Campaign
1041,2017,EA Animal Welfare Fund,The Sentience Institute,10000.0,Research
1042,2017,EA Animal Welfare Fund,The Humane League,10000.0,Grassroots campaigning and movement building
1043,2017,EA Animal Welfare Fund,The Good Food Institute,10000.0,Advocacy for animal product alternatives
1044,2017,EA Animal Welfare Fund,Compassion in World Farming USA,10000.0,Focus on corporate welfare reforms for broiler chickens
1045,2017,EA Animal Welfare Fund,The Albert Schweitzer Foundation in Germany,10000.0,"Work to securing cage-free and other corporate pledges in Germany, as well as in advancing some policy reforms and institutional meat reduction efforts"
1046,2017,EA Animal Welfare Fund,Animal Charity Evaluators,10000.0,"Build a more effective farm animal movement through research, charity recommendations, and outreach to donors, researchers, and advocates"
1047,2017,EA Animal Welfare Fund,Otwarte Klatki in Poland,10000.0,Help achieve significant corporate reforms in Poland
1048,2016,Open Philanthropy,Mercy For Animals,1000000.0,Mercy For Animals — Broiler Chicken Welfare Corporate Campaigns (2016)
1049,2016,Open Philanthropy,Humane Society of the United States,1000000.0,Humane Society of the United States — Broiler Welfare Corporate Campaigns
1050,2016,Open Philanthropy,The Humane League,1000000.0,The Humane League — General Support (2016)
1051,2016,Open Philanthropy,The Good Food Institute,1000000.0,The Good Food Institute — General Support
1052,2016,Open Philanthropy,Mercy For Animals,1000000.0,Mercy For Animals — International Cage-Free Advocacy
1053,2016,Open Philanthropy,Humane Society International,1000000.0,Humane Society International — International Cage-Free Outreach
1054,2016,Open Philanthropy,The Humane League,1000000.0,The Humane League — International Cage-Free Advocacy
1055,2016,Open Philanthropy,Mercy For Animals,1000000.0,Mercy For Animals — Corporate Cage-Free Campaigns (2016)
1056,2016,Open Philanthropy,The Humane League,1000000.0,The Humane League — Corporate Cage-Free Campaigns
